Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C18, C2, C3, C4, C6, C7",0805,9,100nF,
"C12, C13, C8, C9",0805,4,30pF,
"C14, C15",0805,2,22pF,
C16,CP_Elec_4x4.5,1,100µF,
C17,CP_Elec_8x10.5,1,10µF,
"D1, D10, D11, D12, D13, D14, D15, D16",0805,8,LED,
"D2, D3, D4, D5, D6, D7, D8, D9",D_SMA_Handsoldering,8,SS14,
"H3, H6",MountingHole_3.2mm_M3_Pad,2,MountingHole_Pad,
J1,IDC-Header_2x20_P2.54mm_Vertical_reversed,1,Raspberry_Pi_2_3,
J10,minidin_9_pcb_mount,1,SENSOR_17-24,
J11,minidin_9_pcb_mount,1,SENSOR_25-32,
J12,minidin_9_pcb_mount,1,12V_OUT_1-8,
J13,minidin_9_pcb_mount,1,12V_OUT_9-16,
J14,minidin_9_pcb_mount,1,12V_OUT_17-24,
J15,minidin_9_pcb_mount,1,12V_OUT_25-32,
J16,BarrelJack_Wuerth_6941xx301002,1,DCC_MAIN,
J17,BarrelJack_Wuerth_6941xx301002,1,DCC_PROG,
J18,BarrelJack_Wuerth_6941xx301002,1,DCC_PWR_IN,
"J19, J20, J6, J7",Jumper_P2.54mm_D0.7mm,4,TX,
J2,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,LEDS,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,FAN,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,POWERON,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,KEYPAD,
J8,minidin_9_pcb_mount,1,SENSOR_1-8,
J9,minidin_9_pcb_mount,1,SENSOR_9-16,
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,
"R1, R11, R12, R13, R14, R18, R19, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R4, R5, R7, R8, R9",0805,25,10k,
"R10, R16, R17, R6",0805,4,1k,
R15,0805,1,160 1/8W,
R2,0805,1,220 1/8W,
"R20, R21",0805,2,15,
"R34, R35, R36, R37",0805,4,75,
SW1,SW_Tactile_SKHH_Angled,1,SW_MEC_5G,
"U1, U17, U18, U2",DIP-28_W7.62mm_Socket_LongPads,4,MCP23017-E_SP,MCP23017-E/SP
U10,TSSOP-28_4.4x9.7mm_P0.65mm,1,SC16IS752IPW,
U11,MSOP-8_3x3mm_P0.65mm,1,LMV358AQDRQ1,
U12,SOIC-14_3.9x8.7mm_P1.27mm,1,74LS04,
"U13, U14, U5, U6",DIP-18_W7.62mm_Socket,4,ULN2803A,
U16,TO-263-2,1,L7812,
U4,HSOP-20-1EP_11.0x15.9mm_P1.27mm_SlugDown_ThermalVias,1,L298P,
U8,DIP-28_W7.62mm_Socket_LongPads,1,ATmega328-P (DCC),
U9,DIP-28_W7.62mm_Socket_LongPads,1,ATmega328-P (ACC),
Y1,Crystal_SMD_HC49-SD,1,14.7456MHz,
"Y2, Y3",Crystal_SMD_ECS_CSM3X-2Pin_7.6x4.1mm,2,16MHz,
