Designator,Mid X,Mid Y,Rotation,Layer
C1,192.15,-97.33,270.0,top
C10,122.95,-117.3325,0.0,top
C11,94.41,-121.6925,270.0,top
C12,43.88,-125.17,90.0,top
C13,43.88,-130.67,270.0,top
C14,77.13,-125.92,90.0,top
C15,77.13,-129.8825,270.0,top
C16,22.18,-91.42,180.0,top
C17,34.93,-91.42,0.0,top
C18,106.1675,-74.17,0.0,top
C2,61.34,-55.4575,90.0,top
C3,94.36,-55.67,90.0,top
C4,175.38,-96.42,270.0,top
C6,135.63,-78.42,270.0,top
C7,61.34,-121.46,270.0,top
C8,142.13,-134.485,90.0,top
C9,142.13,-124.5575,270.0,top
D1,121.63,-28.17,270.0,top
D10,124.63,-28.17,270.0,top
D11,129.18,-28.17,270.0,top
D12,132.18,-28.195,270.0,top
D13,101.575,-146.665,270.0,top
D14,104.615,-146.665,270.0,top
D15,107.655,-146.665,270.0,top
D16,110.695,-146.665,270.0,top
D2,115.63,-45.42,270.0,top
D3,122.38,-45.42,270.0,top
D4,129.13,-45.42,270.0,top
D5,136.13,-45.446,270.0,top
D6,136.13,-56.17,90.0,top
D7,129.13,-56.17,90.0,top
D8,122.38,-56.17,90.0,top
D9,115.63,-56.17,90.0,top
J1,154.9775,-70.62,0.0,top
J10,78.28,-22.47,0.0,top
J11,95.98,-22.47,0.0,top
J12,159.58,-22.47,0.0,top
J13,177.28,-22.47,0.0,top
J14,194.98,-22.47,0.0,top
J15,212.78,-22.47,0.0,top
J16,111.33,-23.82,180.0,top
J17,143.29,-23.82,180.0,top
J18,23.68,-24.12,180.0,top
J19,50.38,-92.95,90.0,top
J2,188.92,-133.105,0.0,top
J20,47.88,-92.95,90.0,top
J3,221.655,-74.92,90.0,top
J4,221.655,-87.17,90.0,top
J5,168.6,-133.105,0.0,top
J6,85.38,-95.67,0.0,top
J7,85.38,-98.17,0.0,top
J8,43.18,-22.47,0.0,top
J9,60.68,-22.47,0.0,top
Q1,131.2675,-125.895,90.0,top
Q2,115.5175,-124.895,270.0,top
Q3,115.5175,-130.395,270.0,top
Q4,131.2675,-131.395,90.0,top
R1,187.68,-125.745,270.0,top
R10,118.2675,-119.145,90.0,top
R11,45.38,-52.17,90.0,top
R12,76.63,-51.67,180.0,top
R13,146.63,-88.67,0.0,top
R14,146.63,-90.92,0.0,top
R15,192.68,-125.745,270.0,top
R16,116.38,-84.67,90.0,top
R17,117.13,-93.42,0.0,top
R18,122.88,-82.92,0.0,top
R19,122.63,-93.42,0.0,top
R2,182.68,-125.745,270.0,top
R20,135.63,-68.67,270.0,top
R21,116.13,-68.67,270.0,top
R22,50.38,-87.42,270.0,top
R23,47.88,-87.42,270.0,top
R24,78.368453,-95.62,0.0,top
R25,78.368453,-98.12,0.0,top
R26,125.2675,-137.645,90.0,top
R27,122.7675,-137.645,90.0,top
R28,120.2675,-137.645,90.0,top
R29,115.5175,-134.395,0.0,top
R3,169.93,-125.6575,90.0,top
R30,48.63,-99.92,270.0,top
R31,129.13,-22.67,90.0,top
R32,124.63,-22.67,90.0,top
R33,121.68,-22.67,90.0,top
R34,101.53,-141.92,90.0,top
R35,104.63,-141.92,90.0,top
R36,107.63,-141.92,90.0,top
R37,110.63,-141.92,90.0,top
R4,172.43,-125.6575,90.0,top
R5,128.2675,-134.895,270.0,top
R6,131.2675,-121.895,0.0,top
R7,173.83,-100.46,0.0,top
R8,209.88,-101.17,0.0,top
R9,132.13,-22.67,90.0,top
SW1,35.38,-173.845,180.0,top
U1,166.06,-92.195,0.0,top
U10,123.63,-126.67,90.0,top
U11,122.655,-88.015,180.0,top
U12,132.605,-88.98,90.0,top
U13,165.93,-56.32,0.0,top
U14,196.9025,-56.24,0.0,top
U16,29.205,-74.095,90.0,top
U17,52.405,-60.415,180.0,top
U18,85.45,-60.415,180.0,top
U2,201.03,-92.265,0.0,top
U4,125.88,-73.385,0.0,top
U5,179.43,-56.24,0.0,top
U6,214.365,-56.2,0.0,top
U8,85.46,-121.855,0.0,top
U9,52.44,-121.475,0.0,top
Y1,137.5175,-129.645,90.0,top
Y2,39.01,-127.7825,90.0,top
Y3,72.41,-127.94,90.0,top
